"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2025","208.350","208.700","209.600","207.800","608.69K","-0.05%"
"12/29/2025","208.450","208.250","209.250","207.200","706.22K","0.36%"
"12/23/2025","207.700","208.950","209.200","207.500","621.65K","-0.41%"
"12/22/2025","208.550","208.000","210.500","207.650","823.37K","-0.12%"
"12/19/2025","208.800","208.250","209.300","205.100","3.98M","-0.31%"
"12/18/2025","209.450","207.050","209.900","206.950","1.49M","1.16%"
"12/17/2025","207.050","206.500","208.100","204.850","1.27M","0.19%"
"12/16/2025","206.650","206.850","208.300","204.850","1.37M","-1.43%"
"12/15/2025","209.650","208.900","212.900","208.450","1.34M","0.70%"
"12/12/2025","208.200","210.250","211.300","208.100","1.23M","-0.53%"
"12/11/2025","209.300","204.000","211.100","201.850","1.72M","-0.78%"
"12/10/2025","210.950","210.550","211.100","207.000","1.28M","0.45%"
"12/09/2025","210.000","209.150","211.000","208.400","798.95K","-0.05%"
"12/08/2025","210.100","213.250","213.300","209.050","1.10M","-1.48%"
"12/05/2025","213.250","211.250","214.750","210.050","1.03M","1.48%"
"12/04/2025","210.150","208.750","213.500","208.050","1.76M","1.77%"
"12/03/2025","206.500","208.250","210.400","206.150","997.60K","-0.65%"
"12/02/2025","207.850","207.550","209.450","206.450","902.52K","-0.50%"
"12/01/2025","208.900","208.600","209.900","207.100","1.07M","0.17%"
"11/28/2025","208.550","206.850","209.450","206.350","901.07K","0.75%"
"11/27/2025","207.000","207.200","208.750","206.700","473.85K","0.15%"
"11/26/2025","206.700","205.500","206.950","203.650","1.24M","0.90%"
"11/25/2025","204.850","205.050","206.450","202.300","1.29M","-1.28%"
"11/24/2025","207.500","207.650","209.550","206.250","2.71M","1.22%"
"11/21/2025","205.000","204.000","208.200","203.350","1.52M","-0.77%"
"11/20/2025","206.600","206.950","209.600","206.250","1.09M","0.54%"
"11/19/2025","205.500","205.200","207.550","203.750","1.17M","0.07%"
"11/18/2025","205.350","203.400","206.600","202.500","1.35M","-0.80%"
"11/17/2025","207.000","211.600","211.800","205.700","1.33M","-1.94%"
"11/14/2025","211.100","213.750","214.200","207.550","2.18M","-3.21%"
"11/13/2025","218.100","218.100","220.150","217.350","961.99K","-0.14%"
"11/12/2025","218.400","219.350","220.400","218.150","1.12M","0.62%"
"11/11/2025","217.050","216.650","219.000","216.200","1.02M","0.37%"
"11/10/2025","216.250","218.750","220.050","216.000","1.21M","0.28%"
"11/07/2025","215.650","219.650","220.000","215.100","1.50M","-1.06%"
"11/06/2025","217.950","225.600","226.850","217.550","1.26M","-4.39%"
"11/05/2025","227.950","224.950","229.950","223.750","944.45K","0.84%"
"11/04/2025","226.050","226.000","226.700","224.000","982.93K","-1.22%"
"11/03/2025","228.850","225.400","231.050","224.400","1.08M","1.96%"
"10/31/2025","224.450","224.650","226.300","223.750","1.21M","-0.62%"
"10/30/2025","225.850","224.300","227.600","223.650","1.39M","0.69%"
"10/29/2025","224.300","231.700","232.200","223.300","1.93M","-4.19%"
"10/28/2025","234.100","233.900","235.050","232.750","1.13M","-0.62%"
"10/27/2025","235.550","234.000","235.800","233.150","1.16M","0.94%"
"10/24/2025","233.350","241.250","241.300","233.350","1.80M","-3.57%"
"10/23/2025","242.000","239.400","244.300","229.700","3.17M","2.17%"
"10/22/2025","236.850","241.150","241.250","236.500","1.75M","-1.48%"
"10/21/2025","240.400","238.150","241.250","236.350","1.44M","0.75%"
"10/20/2025","238.600","233.800","239.600","232.900","1.40M","3.31%"
"10/17/2025","230.950","229.250","232.000","227.000","1.16M","-0.96%"
"10/16/2025","233.200","231.200","237.100","230.350","1.15M","-0.43%"
"10/15/2025","234.200","231.800","234.650","231.450","1.10M","0.64%"
"10/14/2025","232.700","230.950","232.700","228.450","1.32M","0.56%"
"10/13/2025","231.400","231.800","233.750","229.650","738.72K","0.37%"
"10/10/2025","230.550","238.800","239.100","230.550","1.30M","-3.05%"
"10/09/2025","237.800","239.000","239.350","235.050","926.82K","0.25%"
